2025-11-24 00:05:42 startup archives unpack
2025-11-24 00:05:45 install python3-pip-whl:all <none> 25.0+dfsg-1ubuntu0.2
2025-11-24 00:05:45 status half-installed python3-pip-whl:all 25.0+dfsg-1ubuntu0.2
2025-11-24 00:05:46 status unpacked python3-pip-whl:all 25.0+dfsg-1ubuntu0.2
2025-11-24 00:05:46 install python3-setuptools-whl:all <none> 75.8.0-1ubuntu1
2025-11-24 00:05:46 status half-installed python3-setuptools-whl:all 75.8.0-1ubuntu1
2025-11-24 00:05:46 status unpacked python3-setuptools-whl:all 75.8.0-1ubuntu1
2025-11-24 00:05:46 install python3.13-venv:amd64 <none> 3.13.3-1ubuntu0.3
2025-11-24 00:05:46 status half-installed python3.13-venv:amd64 3.13.3-1ubuntu0.3
2025-11-24 00:05:47 status unpacked python3.13-venv:amd64 3.13.3-1ubuntu0.3
2025-11-24 00:05:47 startup packages configure
2025-11-24 00:05:47 configure python3-setuptools-whl:all 75.8.0-1ubuntu1 <none>
2025-11-24 00:05:47 status unpacked python3-setuptools-whl:all 75.8.0-1ubuntu1
2025-11-24 00:05:47 status half-configured python3-setuptools-whl:all 75.8.0-1ubuntu1
2025-11-24 00:05:47 status installed python3-setuptools-whl:all 75.8.0-1ubuntu1
2025-11-24 00:05:47 configure python3-pip-whl:all 25.0+dfsg-1ubuntu0.2 <none>
2025-11-24 00:05:47 status unpacked python3-pip-whl:all 25.0+dfsg-1ubuntu0.2
2025-11-24 00:05:47 status half-configured python3-pip-whl:all 25.0+dfsg-1ubuntu0.2
2025-11-24 00:05:47 status installed python3-pip-whl:all 25.0+dfsg-1ubuntu0.2
2025-11-24 00:05:47 configure python3.13-venv:amd64 3.13.3-1ubuntu0.3 <none>
2025-11-24 00:05:47 status unpacked python3.13-venv:amd64 3.13.3-1ubuntu0.3
2025-11-24 00:05:47 status half-configured python3.13-venv:amd64 3.13.3-1ubuntu0.3
2025-11-24 00:05:48 status installed python3.13-venv:amd64 3.13.3-1ubuntu0.3
2025-11-24 00:09:35 startup archives unpack
2025-11-24 00:09:35 upgrade xserver-common:all 2:21.1.16-1ubuntu1.1 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:35 status half-configured xserver-common:all 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:36 status unpacked xserver-common:all 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:36 status half-installed xserver-common:all 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:36 status triggers-pending man-db:amd64 2.13.0-1
2025-11-24 00:09:37 status unpacked xserver-common:all 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:37 upgrade xserver-xephyr:amd64 2:21.1.16-1ubuntu1.1 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:37 status half-configured xserver-xephyr:amd64 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:37 status unpacked xserver-xephyr:amd64 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:37 status half-installed xserver-xephyr:amd64 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:40 status unpacked xserver-xephyr:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:41 upgrade xserver-xorg-legacy:amd64 2:21.1.16-1ubuntu1.1 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:41 status half-configured xserver-xorg-legacy:amd64 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:41 status unpacked xserver-xorg-legacy:amd64 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:42 status half-installed xserver-xorg-legacy:amd64 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:44 status unpacked xserver-xorg-legacy:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:47 upgrade xserver-xorg-core:amd64 2:21.1.16-1ubuntu1.1 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:47 status half-configured xserver-xorg-core:amd64 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:48 status unpacked xserver-xorg-core:amd64 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:48 status half-installed xserver-xorg-core:amd64 2:21.1.16-1ubuntu1.1
2025-11-24 00:09:51 status unpacked xserver-xorg-core:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:51 startup packages configure
2025-11-24 00:09:51 configure xserver-common:all 2:21.1.16-1ubuntu1.2 <none>
2025-11-24 00:09:51 status unpacked xserver-common:all 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:51 status half-configured xserver-common:all 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:51 status installed xserver-common:all 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:51 configure xserver-xorg-legacy:amd64 2:21.1.16-1ubuntu1.2 <none>
2025-11-24 00:09:51 status unpacked xserver-xorg-legacy:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:51 status half-configured xserver-xorg-legacy:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:52 status installed xserver-xorg-legacy:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:52 configure xserver-xorg-core:amd64 2:21.1.16-1ubuntu1.2 <none>
2025-11-24 00:09:52 status unpacked xserver-xorg-core:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:52 status half-configured xserver-xorg-core:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:52 status installed xserver-xorg-core:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:52 configure xserver-xephyr:amd64 2:21.1.16-1ubuntu1.2 <none>
2025-11-24 00:09:52 status unpacked xserver-xephyr:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:52 status half-configured xserver-xephyr:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:52 status installed xserver-xephyr:amd64 2:21.1.16-1ubuntu1.2
2025-11-24 00:09:53 trigproc man-db:amd64 2.13.0-1 <none>
2025-11-24 00:09:53 status half-configured man-db:amd64 2.13.0-1
2025-11-24 00:10:08 status installed man-db:amd64 2.13.0-1
2025-11-24 00:10:11 startup archives unpack
2025-11-24 00:10:12 upgrade poppler-utils:amd64 25.03.0-3ubuntu1.3 25.03.0-3ubuntu1.4
2025-11-24 00:10:12 status half-configured poppler-utils:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:12 status unpacked poppler-utils:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:12 status half-installed poppler-utils:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:12 status triggers-pending man-db:amd64 2.13.0-1
2025-11-24 00:10:13 status unpacked poppler-utils:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:14 upgrade libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.3 25.03.0-3ubuntu1.4
2025-11-24 00:10:14 status triggers-pending libc-bin:amd64 2.41-6ubuntu1.2
2025-11-24 00:10:14 status half-configured libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:14 status unpacked libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:15 status half-installed libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:15 status unpacked libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:18 upgrade libpoppler-cpp2:amd64 25.03.0-3ubuntu1.3 25.03.0-3ubuntu1.4
2025-11-24 00:10:18 status half-configured libpoppler-cpp2:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:18 status unpacked libpoppler-cpp2:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:18 status half-installed libpoppler-cpp2:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:19 status unpacked libpoppler-cpp2:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:20 upgrade libpoppler147:amd64 25.03.0-3ubuntu1.3 25.03.0-3ubuntu1.4
2025-11-24 00:10:20 status half-configured libpoppler147:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:20 status unpacked libpoppler147:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:20 status half-installed libpoppler147:amd64 25.03.0-3ubuntu1.3
2025-11-24 00:10:21 status unpacked libpoppler147:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:22 startup packages configure
2025-11-24 00:10:22 configure libpoppler147:amd64 25.03.0-3ubuntu1.4 <none>
2025-11-24 00:10:22 status unpacked libpoppler147:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:22 status half-configured libpoppler147:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:22 status installed libpoppler147:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:23 configure libpoppler-cpp2:amd64 25.03.0-3ubuntu1.4 <none>
2025-11-24 00:10:23 status unpacked libpoppler-cpp2:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:23 status half-configured libpoppler-cpp2:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:23 status installed libpoppler-cpp2:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:24 configure libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.4 <none>
2025-11-24 00:10:24 status unpacked libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:24 status half-configured libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:24 status installed libpoppler-glib8t64:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:24 configure poppler-utils:amd64 25.03.0-3ubuntu1.4 <none>
2025-11-24 00:10:24 status unpacked poppler-utils:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:25 status half-configured poppler-utils:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:25 status installed poppler-utils:amd64 25.03.0-3ubuntu1.4
2025-11-24 00:10:25 trigproc man-db:amd64 2.13.0-1 <none>
2025-11-24 00:10:25 status half-configured man-db:amd64 2.13.0-1
2025-11-24 00:10:31 status installed man-db:amd64 2.13.0-1
2025-11-24 00:10:31 trigproc libc-bin:amd64 2.41-6ubuntu1.2 <none>
2025-11-24 00:10:31 status half-configured libc-bin:amd64 2.41-6ubuntu1.2
2025-11-24 00:10:33 status installed libc-bin:amd64 2.41-6ubuntu1.2
2025-11-24 00:10:37 startup archives unpack
2025-11-24 00:10:38 upgrade libctf-nobfd0:amd64 2.44-3ubuntu1 2.44-3ubuntu1.1
2025-11-24 00:10:38 status triggers-pending libc-bin:amd64 2.41-6ubuntu1.2
2025-11-24 00:10:38 status half-configured libctf-nobfd0:amd64 2.44-3ubuntu1
2025-11-24 00:10:38 status unpacked libctf-nobfd0:amd64 2.44-3ubuntu1
2025-11-24 00:10:38 status half-installed libctf-nobfd0:amd64 2.44-3ubuntu1
2025-11-24 00:10:39 status unpacked libctf-nobfd0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:39 upgrade libgprofng0:amd64 2.44-3ubuntu1 2.44-3ubuntu1.1
2025-11-24 00:10:39 status half-configured libgprofng0:amd64 2.44-3ubuntu1
2025-11-24 00:10:39 status unpacked libgprofng0:amd64 2.44-3ubuntu1
2025-11-24 00:10:39 status half-installed libgprofng0:amd64 2.44-3ubuntu1
2025-11-24 00:10:40 status unpacked libgprofng0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:40 upgrade libctf0:amd64 2.44-3ubuntu1 2.44-3ubuntu1.1
2025-11-24 00:10:40 status half-configured libctf0:amd64 2.44-3ubuntu1
2025-11-24 00:10:40 status unpacked libctf0:amd64 2.44-3ubuntu1
2025-11-24 00:10:40 status half-installed libctf0:amd64 2.44-3ubuntu1
2025-11-24 00:10:41 status unpacked libctf0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:41 upgrade binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1 2.44-3ubuntu1.1
2025-11-24 00:10:41 status half-configured binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1
2025-11-24 00:10:41 status unpacked binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1
2025-11-24 00:10:41 status half-installed binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1
2025-11-24 00:10:41 status triggers-pending man-db:amd64 2.13.0-1
2025-11-24 00:10:42 status unpacked binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:43 upgrade binutils:amd64 2.44-3ubuntu1 2.44-3ubuntu1.1
2025-11-24 00:10:43 status half-configured binutils:amd64 2.44-3ubuntu1
2025-11-24 00:10:43 status unpacked binutils:amd64 2.44-3ubuntu1
2025-11-24 00:10:43 status half-installed binutils:amd64 2.44-3ubuntu1
2025-11-24 00:10:43 status unpacked binutils:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:44 upgrade libbinutils:amd64 2.44-3ubuntu1 2.44-3ubuntu1.1
2025-11-24 00:10:44 status half-configured libbinutils:amd64 2.44-3ubuntu1
2025-11-24 00:10:44 status unpacked libbinutils:amd64 2.44-3ubuntu1
2025-11-24 00:10:44 status half-installed libbinutils:amd64 2.44-3ubuntu1
2025-11-24 00:10:44 status unpacked libbinutils:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:45 upgrade binutils-common:amd64 2.44-3ubuntu1 2.44-3ubuntu1.1
2025-11-24 00:10:45 status half-configured binutils-common:amd64 2.44-3ubuntu1
2025-11-24 00:10:45 status unpacked binutils-common:amd64 2.44-3ubuntu1
2025-11-24 00:10:45 status half-installed binutils-common:amd64 2.44-3ubuntu1
2025-11-24 00:10:45 status unpacked binutils-common:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:46 upgrade libsframe1:amd64 2.44-3ubuntu1 2.44-3ubuntu1.1
2025-11-24 00:10:46 status half-configured libsframe1:amd64 2.44-3ubuntu1
2025-11-24 00:10:46 status unpacked libsframe1:amd64 2.44-3ubuntu1
2025-11-24 00:10:46 status half-installed libsframe1:amd64 2.44-3ubuntu1
2025-11-24 00:10:46 status unpacked libsframe1:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:46 startup packages configure
2025-11-24 00:10:46 configure binutils-common:amd64 2.44-3ubuntu1.1 <none>
2025-11-24 00:10:46 status unpacked binutils-common:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 status half-configured binutils-common:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 status installed binutils-common:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 configure libctf-nobfd0:amd64 2.44-3ubuntu1.1 <none>
2025-11-24 00:10:47 status unpacked libctf-nobfd0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 status half-configured libctf-nobfd0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 status installed libctf-nobfd0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 configure libsframe1:amd64 2.44-3ubuntu1.1 <none>
2025-11-24 00:10:47 status unpacked libsframe1:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 status half-configured libsframe1:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 status installed libsframe1:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 configure libbinutils:amd64 2.44-3ubuntu1.1 <none>
2025-11-24 00:10:47 status unpacked libbinutils:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 status half-configured libbinutils:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 status installed libbinutils:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 configure libctf0:amd64 2.44-3ubuntu1.1 <none>
2025-11-24 00:10:47 status unpacked libctf0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 status half-configured libctf0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 status installed libctf0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 configure libgprofng0:amd64 2.44-3ubuntu1.1 <none>
2025-11-24 00:10:47 status unpacked libgprofng0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:47 status half-configured libgprofng0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:48 status installed libgprofng0:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:48 configure binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.1 <none>
2025-11-24 00:10:48 status unpacked binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:48 status half-configured binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:48 status installed binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:48 configure binutils:amd64 2.44-3ubuntu1.1 <none>
2025-11-24 00:10:48 status unpacked binutils:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:48 status half-configured binutils:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:48 status installed binutils:amd64 2.44-3ubuntu1.1
2025-11-24 00:10:48 trigproc libc-bin:amd64 2.41-6ubuntu1.2 <none>
2025-11-24 00:10:48 status half-configured libc-bin:amd64 2.41-6ubuntu1.2
2025-11-24 00:10:48 status installed libc-bin:amd64 2.41-6ubuntu1.2
2025-11-24 00:10:48 trigproc man-db:amd64 2.13.0-1 <none>
2025-11-24 00:10:48 status half-configured man-db:amd64 2.13.0-1
2025-11-24 00:10:50 status installed man-db:amd64 2.13.0-1
2025-11-24 00:10:53 startup archives unpack
2025-11-24 00:10:53 upgrade bpftool:amd64 7.6.0+6.14.0-34.34 7.6.0+6.14.0-35.35
2025-11-24 00:10:53 status half-configured bpftool:amd64 7.6.0+6.14.0-34.34
2025-11-24 00:10:54 status unpacked bpftool:amd64 7.6.0+6.14.0-34.34
2025-11-24 00:10:54 status half-installed bpftool:amd64 7.6.0+6.14.0-34.34
2025-11-24 00:10:54 status triggers-pending man-db:amd64 2.13.0-1
2025-11-24 00:10:54 status unpacked bpftool:amd64 7.6.0+6.14.0-35.35
2025-11-24 00:10:55 install linux-modules-6.14.0-35-generic:amd64 <none> 6.14.0-35.35
2025-11-24 00:10:55 status half-installed linux-modules-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:10:57 status unpacked linux-modules-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:10:57 install linux-image-6.14.0-35-generic:amd64 <none> 6.14.0-35.35
2025-11-24 00:10:57 status half-installed linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:10:58 status unpacked linux-image-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:10:58 install linux-modules-extra-6.14.0-35-generic:amd64 <none> 6.14.0-35.35
2025-11-24 00:10:58 status half-installed linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:03 status unpacked linux-modules-extra-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:04 upgrade linux-generic-hwe-24.04:amd64 6.14.0-34.34 6.14.0-35.35
2025-11-24 00:11:04 status half-configured linux-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:04 status unpacked linux-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:04 status half-installed linux-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:04 status unpacked linux-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:05 upgrade linux-image-generic-hwe-24.04:amd64 6.14.0-34.34 6.14.0-35.35
2025-11-24 00:11:05 status half-configured linux-image-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:05 status unpacked linux-image-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:06 status half-installed linux-image-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:06 status unpacked linux-image-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:06 install linux-headers-6.14.0-35:all <none> 6.14.0-35.35
2025-11-24 00:11:06 status half-installed linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-24 00:11:14 status unpacked linux-headers-6.14.0-35:all 6.14.0-35.35
2025-11-24 00:11:15 install linux-headers-6.14.0-35-generic:amd64 <none> 6.14.0-35.35
2025-11-24 00:11:15 status half-installed linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:19 status unpacked linux-headers-6.14.0-35-generic:amd64 6.14.0-35.35
2025-11-24 00:11:19 upgrade linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34 6.14.0-35.35
2025-11-24 00:11:19 status half-configured linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:19 status unpacked linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:19 status half-installed linux-headers-generic-hwe-24.04:amd64 6.14.0-34.34
2025-11-24 00:11:19 status unpacked linux-headers-generic-hwe-24.04:amd64 6.14.0-35.35
2025-11-24 00:11:20 upgrade linux-libc-dev:amd64 6.14.0-34.34 6.14.0-35.35
2025-11-24 00:11:20 status half-configured linux-libc-dev:amd64 6.14.0-34.34
