2025-12-02 06:33:22 startup archives unpack
2025-12-02 06:33:22 upgrade libgprofng0:amd64 2.44-3ubuntu1.1 2.44-3ubuntu1.2
2025-12-02 06:33:22 status triggers-pending libc-bin:amd64 2.41-6ubuntu1.2
2025-12-02 06:33:22 status half-configured libgprofng0:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:22 status unpacked libgprofng0:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:22 status half-installed libgprofng0:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:23 status unpacked libgprofng0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:23 upgrade libctf0:amd64 2.44-3ubuntu1.1 2.44-3ubuntu1.2
2025-12-02 06:33:23 status half-configured libctf0:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:23 status unpacked libctf0:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:24 status half-installed libctf0:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:25 status unpacked libctf0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:25 upgrade libctf-nobfd0:amd64 2.44-3ubuntu1.1 2.44-3ubuntu1.2
2025-12-02 06:33:25 status half-configured libctf-nobfd0:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:25 status unpacked libctf-nobfd0:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:25 status half-installed libctf-nobfd0:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:25 status unpacked libctf-nobfd0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:26 upgrade binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.1 2.44-3ubuntu1.2
2025-12-02 06:33:26 status half-configured binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:26 status unpacked binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:26 status half-installed binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:26 status triggers-pending man-db:amd64 2.13.0-1
2025-12-02 06:33:27 status unpacked binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:27 upgrade libbinutils:amd64 2.44-3ubuntu1.1 2.44-3ubuntu1.2
2025-12-02 06:33:27 status half-configured libbinutils:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:27 status unpacked libbinutils:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:27 status half-installed libbinutils:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:28 status unpacked libbinutils:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:28 upgrade binutils:amd64 2.44-3ubuntu1.1 2.44-3ubuntu1.2
2025-12-02 06:33:28 status half-configured binutils:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:28 status unpacked binutils:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:28 status half-installed binutils:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:28 status unpacked binutils:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:29 upgrade binutils-common:amd64 2.44-3ubuntu1.1 2.44-3ubuntu1.2
2025-12-02 06:33:29 status half-configured binutils-common:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:29 status unpacked binutils-common:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:29 status half-installed binutils-common:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:29 status unpacked binutils-common:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:30 upgrade libsframe1:amd64 2.44-3ubuntu1.1 2.44-3ubuntu1.2
2025-12-02 06:33:30 status half-configured libsframe1:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:30 status unpacked libsframe1:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:30 status half-installed libsframe1:amd64 2.44-3ubuntu1.1
2025-12-02 06:33:30 status unpacked libsframe1:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:30 startup packages configure
2025-12-02 06:33:30 configure binutils-common:amd64 2.44-3ubuntu1.2 <none>
2025-12-02 06:33:30 status unpacked binutils-common:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status half-configured binutils-common:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status installed binutils-common:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 configure libctf-nobfd0:amd64 2.44-3ubuntu1.2 <none>
2025-12-02 06:33:31 status unpacked libctf-nobfd0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status half-configured libctf-nobfd0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status installed libctf-nobfd0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 configure libsframe1:amd64 2.44-3ubuntu1.2 <none>
2025-12-02 06:33:31 status unpacked libsframe1:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status half-configured libsframe1:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status installed libsframe1:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 configure libbinutils:amd64 2.44-3ubuntu1.2 <none>
2025-12-02 06:33:31 status unpacked libbinutils:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status half-configured libbinutils:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status installed libbinutils:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 configure libctf0:amd64 2.44-3ubuntu1.2 <none>
2025-12-02 06:33:31 status unpacked libctf0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status half-configured libctf0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status installed libctf0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 configure libgprofng0:amd64 2.44-3ubuntu1.2 <none>
2025-12-02 06:33:31 status unpacked libgprofng0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status half-configured libgprofng0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:31 status installed libgprofng0:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:32 configure binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.2 <none>
2025-12-02 06:33:32 status unpacked binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:32 status half-configured binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:32 status installed binutils-x86-64-linux-gnu:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:32 configure binutils:amd64 2.44-3ubuntu1.2 <none>
2025-12-02 06:33:32 status unpacked binutils:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:32 status half-configured binutils:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:32 status installed binutils:amd64 2.44-3ubuntu1.2
2025-12-02 06:33:32 trigproc libc-bin:amd64 2.41-6ubuntu1.2 <none>
2025-12-02 06:33:32 status half-configured libc-bin:amd64 2.41-6ubuntu1.2
2025-12-02 06:33:32 status installed libc-bin:amd64 2.41-6ubuntu1.2
2025-12-02 06:33:32 trigproc man-db:amd64 2.13.0-1 <none>
2025-12-02 06:33:32 status half-configured man-db:amd64 2.13.0-1
2025-12-02 06:33:34 status installed man-db:amd64 2.13.0-1
2025-12-04 06:35:19 startup archives unpack
2025-12-04 06:35:19 upgrade wireless-regdb:all 2024.10.07-0ubuntu2 2025.07.10-0ubuntu1~25.04.1
2025-12-04 06:35:19 status half-configured wireless-regdb:all 2024.10.07-0ubuntu2
2025-12-04 06:35:19 status unpacked wireless-regdb:all 2024.10.07-0ubuntu2
2025-12-04 06:35:19 status half-installed wireless-regdb:all 2024.10.07-0ubuntu2
2025-12-04 06:35:19 status triggers-pending man-db:amd64 2.13.0-1
2025-12-04 06:35:20 status unpacked wireless-regdb:all 2025.07.10-0ubuntu1~25.04.1
2025-12-04 06:35:20 startup packages configure
2025-12-04 06:35:20 configure wireless-regdb:all 2025.07.10-0ubuntu1~25.04.1 <none>
2025-12-04 06:35:20 status unpacked wireless-regdb:all 2025.07.10-0ubuntu1~25.04.1
2025-12-04 06:35:20 status half-configured wireless-regdb:all 2025.07.10-0ubuntu1~25.04.1
2025-12-04 06:35:20 status installed wireless-regdb:all 2025.07.10-0ubuntu1~25.04.1
2025-12-04 06:35:20 trigproc man-db:amd64 2.13.0-1 <none>
2025-12-04 06:35:20 status half-configured man-db:amd64 2.13.0-1
2025-12-04 06:35:22 status installed man-db:amd64 2.13.0-1
